INCH,0,10,20,30,40,50,60,70,80,90
2,0,3,7,17,27,41,63,85,106,128
3,0,7,19,40,62,97,134,166,194,206
4,0,9,30,62,98,147,223,308,368,386
5,0,15,50,96,162,260,384,500,637,736
6,0,38,93,163,267,415,607,813,1047,1175
8,0,75,135,305,510,750,1110,1537,2006,2290
10,0,92,250,495,770,1125,1670,2346,2980,3558
12,0,135,367,734,1134,1653,2600,3700,4867,5767
14,0,192,477,924,1422,2083,3140,4307,5578,6700
16,0,220,570,985,1700,2450,3700,5400,7450,9100
18,0,335,705,1425,2470,3670,5280,7486,9330,10588
20,0,397,960,1800,3233,4688,7130,9415,11980,13900
24,0,455,1042,2496,4470,6582,10000,13645,17437,20520